claim_policy,coverage_dimension,endpoint_id,measurement_label,reason,schema_version,scope_exclusion_id,source_id,source_kind,source_manifest_sha256,status
explicitly_excluded_not_tested,tool_calling,arcee-trinity-large-thinking,Adaptive tool +1 boundary discovery,not part of this fixed plan; report as untested rather than inferred,digitalocean_direct_scope_exclusion_v1,adaptive_tool_over_limit_followups,do-direct-capability-20260823,direct_breadth,9944d094a6013ca84eade9e85c56ea6849765b10e4f503c8fd69a96c3797a7f0,untested
explicitly_excluded_not_tested,tool_calling,deepseek-v4-flash-0731,Adaptive tool +1 boundary discovery,not part of this fixed plan; report as untested rather than inferred,digitalocean_direct_scope_exclusion_v1,adaptive_tool_over_limit_followups,do-direct-capability-20260823,direct_breadth,9944d094a6013ca84eade9e85c56ea6849765b10e4f503c8fd69a96c3797a7f0,untested
explicitly_excluded_not_tested,tool_calling,gemma-4-31B-it,Adaptive tool +1 boundary discovery,not part of this fixed plan; report as untested rather than inferred,digitalocean_direct_scope_exclusion_v1,adaptive_tool_over_limit_followups,do-direct-capability-20260823,direct_breadth,9944d094a6013ca84eade9e85c56ea6849765b10e4f503c8fd69a96c3797a7f0,untested
explicitly_excluded_not_tested,tool_calling,glm-5.2,Adaptive tool +1 boundary discovery,not part of this fixed plan; report as untested rather than inferred,digitalocean_direct_scope_exclusion_v1,adaptive_tool_over_limit_followups,do-direct-capability-20260823,direct_breadth,9944d094a6013ca84eade9e85c56ea6849765b10e4f503c8fd69a96c3797a7f0,untested
explicitly_excluded_not_tested,tool_calling,kimi-k3,Adaptive tool +1 boundary discovery,not part of this fixed plan; report as untested rather than inferred,digitalocean_direct_scope_exclusion_v1,adaptive_tool_over_limit_followups,do-direct-capability-20260823,direct_breadth,9944d094a6013ca84eade9e85c56ea6849765b10e4f503c8fd69a96c3797a7f0,untested
explicitly_excluded_not_tested,tool_calling,minimax-m2.5,Adaptive tool +1 boundary discovery,not part of this fixed plan; report as untested rather than inferred,digitalocean_direct_scope_exclusion_v1,adaptive_tool_over_limit_followups,do-direct-capability-20260823,direct_breadth,9944d094a6013ca84eade9e85c56ea6849765b10e4f503c8fd69a96c3797a7f0,untested
explicitly_excluded_not_tested,tool_calling,mimo-v2.5-pro,Adaptive tool +1 boundary discovery,not part of this fixed plan; report as untested rather than inferred,digitalocean_direct_scope_exclusion_v1,adaptive_tool_over_limit_followups,do-direct-capability-20260823,direct_breadth,9944d094a6013ca84eade9e85c56ea6849765b10e4f503c8fd69a96c3797a7f0,untested
explicitly_excluded_not_tested,tool_calling,nemotron-3-ultra-550b,Adaptive tool +1 boundary discovery,not part of this fixed plan; report as untested rather than inferred,digitalocean_direct_scope_exclusion_v1,adaptive_tool_over_limit_followups,do-direct-capability-20260823,direct_breadth,9944d094a6013ca84eade9e85c56ea6849765b10e4f503c8fd69a96c3797a7f0,untested
explicitly_excluded_not_tested,tool_calling,nvidia-nemotron-3-super-120b,Adaptive tool +1 boundary discovery,not part of this fixed plan; report as untested rather than inferred,digitalocean_direct_scope_exclusion_v1,adaptive_tool_over_limit_followups,do-direct-capability-20260823,direct_breadth,9944d094a6013ca84eade9e85c56ea6849765b10e4f503c8fd69a96c3797a7f0,untested
explicitly_excluded_not_tested,tool_calling,openai-gpt-oss-120b,Adaptive tool +1 boundary discovery,not part of this fixed plan; report as untested rather than inferred,digitalocean_direct_scope_exclusion_v1,adaptive_tool_over_limit_followups,do-direct-capability-20260823,direct_breadth,9944d094a6013ca84eade9e85c56ea6849765b10e4f503c8fd69a96c3797a7f0,untested
